id,subset,priority,setup,memory_seed,memory_layer,user_query,must_call_retrieve,gold_behavior,must_include_signals,must_not,pass_rule,longmemeval_align,run_result,error_code,notes
MINI-B-01,B_write_then_ask,P0,先经 HITL 审批写入一条记忆，再提问；层=Ego,咖啡偏好：美式不加糖,Ego,我平时喜欢喝什么咖啡？,yes,检索命中后回答，要点覆盖 seed；不得添加 seed 没有的细节,美式不加糖,与 seed 矛盾的事实|声称不确定却编细节,Grounded faithfulness：关键要点命中,Information Extraction,,,
MINI-B-02,B_write_then_ask,P0,先经 HITL 审批写入一条记忆，再提问；层=Ego,茶偏好：乌龙茶,Ego,我喜欢喝什么茶？,yes,检索命中后回答，要点覆盖 seed；不得添加 seed 没有的细节,乌龙茶,与 seed 矛盾的事实|声称不确定却编细节,Grounded faithfulness：关键要点命中,Information Extraction,,,
MINI-B-03,B_write_then_ask,P0,先经 HITL 审批写入一条记忆，再提问；层=Ego,运动：每周跑步三次,Ego,我最近的运动习惯是什么？,yes,检索命中后回答，要点覆盖 seed；不得添加 seed 没有的细节,每周跑步三次,与 seed 矛盾的事实|声称不确定却编细节,Grounded faithfulness：关键要点命中,Information Extraction,,,
MINI-B-04,B_write_then_ask,P0,先经 HITL 审批写入一条记忆，再提问；层=Ego,作息：习惯凌晨一点睡,Ego,我一般几点睡？,yes,检索命中后回答，要点覆盖 seed；不得添加 seed 没有的细节,习惯凌晨一点睡,与 seed 矛盾的事实|声称不确定却编细节,Grounded faithfulness：关键要点命中,Information Extraction,,,
MINI-B-05,B_write_then_ask,P0,先经 HITL 审批写入一条记忆，再提问；层=Ego,通勤：地铁十号线上班,Ego,我怎么通勤？,yes,检索命中后回答，要点覆盖 seed；不得添加 seed 没有的细节,地铁十号线上班,与 seed 矛盾的事实|声称不确定却编细节,Grounded faithfulness：关键要点命中,Information Extraction,,,
MINI-B-06,B_write_then_ask,P0,先经 HITL 审批写入一条记忆，再提问；层=Id,饮食忌口：海鲜过敏,Id,我饮食上有什么忌口或过敏吗？,yes,检索命中后回答，要点覆盖 seed；不得添加 seed 没有的细节,海鲜过敏,与 seed 矛盾的事实|声称不确定却编细节,Grounded faithfulness：关键要点命中,Information Extraction,,,
MINI-B-07,B_write_then_ask,P0,先经 HITL 审批写入一条记忆，再提问；层=Id,家乡：河南郑州,Id,我的家乡是哪里？,yes,检索命中后回答，要点覆盖 seed；不得添加 seed 没有的细节,河南郑州,与 seed 矛盾的事实|声称不确定却编细节,Grounded faithfulness：关键要点命中,Information Extraction,,,
MINI-B-08,B_write_then_ask,P0,先经 HITL 审批写入一条记忆，再提问；层=Id,学历：北邮人工智能本科,Id,我本科在哪里读什么？,yes,检索命中后回答，要点覆盖 seed；不得添加 seed 没有的细节,北邮人工智能本科,与 seed 矛盾的事实|声称不确定却编细节,Grounded faithfulness：关键要点命中,Information Extraction,,,
MINI-B-09,B_write_then_ask,P0,先经 HITL 审批写入一条记忆，再提问；层=Id,宠物：养一只橘猫叫年糕,Id,我有没有养宠物？叫什么？,yes,检索命中后回答，要点覆盖 seed；不得添加 seed 没有的细节,养一只橘猫叫年糕,与 seed 矛盾的事实|声称不确定却编细节,Grounded faithfulness：关键要点命中,Information Extraction,,,
MINI-B-10,B_write_then_ask,P0,先经 HITL 审批写入一条记忆，再提问；层=Ego,乐器：会弹吉他,Ego,我会什么乐器？,yes,检索命中后回答，要点覆盖 seed；不得添加 seed 没有的细节,会弹吉他,与 seed 矛盾的事实|声称不确定却编细节,Grounded faithfulness：关键要点命中,Information Extraction,,,
MINI-C-01,C_update_conflict,P0,先写入旧值并确认；再 HITL 更新为新值；再提问,旧：咖啡偏好=美式不加糖；新：咖啡偏好=拿铁加燕麦奶,Ego,我现在喜欢喝什么？,yes,只采用更新后的新值；可提及已更新；不得坚持旧值,拿铁加燕麦奶,美式不加糖,Knowledge Update：新值命中且旧值不作为当前事实,Knowledge Updates,,,
MINI-C-02,C_update_conflict,P0,先写入旧值并确认；再 HITL 更新为新值；再提问,旧：茶偏好=乌龙茶；新：茶偏好=红茶加奶,Ego,我现在的茶偏好是？,yes,只采用更新后的新值；可提及已更新；不得坚持旧值,红茶加奶,乌龙茶,Knowledge Update：新值命中且旧值不作为当前事实,Knowledge Updates,,,
MINI-C-03,C_update_conflict,P0,先写入旧值并确认；再 HITL 更新为新值；再提问,旧：运动=每周跑步三次；新：运动=改成游泳为主,Ego,我现在运动上以什么为主？,yes,只采用更新后的新值；可提及已更新；不得坚持旧值,改成游泳为主,每周跑步三次,Knowledge Update：新值命中且旧值不作为当前事实,Knowledge Updates,,,
MINI-C-04,C_update_conflict,P0,先写入旧值并确认；再 HITL 更新为新值；再提问,旧：作息=习惯凌晨一点睡；新：作息=改成十一点前睡,Ego,我现在的睡眠习惯？,yes,只采用更新后的新值；可提及已更新；不得坚持旧值,改成十一点前睡,习惯凌晨一点睡,Knowledge Update：新值命中且旧值不作为当前事实,Knowledge Updates,,,
MINI-C-05,C_update_conflict,P0,先写入旧值并确认；再 HITL 更新为新值；再提问,旧：通勤=地铁十号线上班；新：通勤=改成骑车通勤,Ego,我现在怎么上班？,yes,只采用更新后的新值；可提及已更新；不得坚持旧值,改成骑车通勤,地铁十号线上班,Knowledge Update：新值命中且旧值不作为当前事实,Knowledge Updates,,,
MINI-D-01,D_no_personal_memory,P0,记忆库可空或有无关记忆；问题不需要个人记忆,,,今天北京天气怎么样？,no_or_optional,通识/工具外信息，不应伪装成『我记得你喜欢雨天』类记忆回答；不得伪造『根据我对你的记忆』,,伪造个人记忆|把通识说成『你说过』,无 FP 伪记忆；通识题可答通识,Tool routing / Abstention boundary,,,
MINI-D-02,D_no_personal_memory,P0,记忆库可空或有无关记忆；问题不需要个人记忆,,,1+1等于几？,no_or_optional,通识计算，不涉及个人记忆；不得伪造『根据我对你的记忆』,,伪造个人记忆|把通识说成『你说过』,无 FP 伪记忆；通识题可答通识,Tool routing / Abstention boundary,,,
MINI-D-03,D_no_personal_memory,P0,记忆库可空或有无关记忆；问题不需要个人记忆,,,Python 里 list 和 tuple 区别？,no_or_optional,技术通识；不得伪造『根据我对你的记忆』,,伪造个人记忆|把通识说成『你说过』,无 FP 伪记忆；通识题可答通识,Tool routing / Abstention boundary,,,
MINI-D-04,D_no_personal_memory,P0,记忆库可空或有无关记忆；问题不需要个人记忆,,,帮我写一封请假邮件模板,no_or_optional,通用写作，不需要编造用户私事；不得伪造『根据我对你的记忆』,,伪造个人记忆|把通识说成『你说过』,无 FP 伪记忆；通识题可答通识,Tool routing / Abstention boundary,,,
MINI-D-05,D_no_personal_memory,P0,记忆库可空或有无关记忆；问题不需要个人记忆,,,什么是 RAG？,no_or_optional,概念解释；不得伪造『根据我对你的记忆』,,伪造个人记忆|把通识说成『你说过』,无 FP 伪记忆；通识题可答通识,Tool routing / Abstention boundary,,,
