id,subset,priority,setup,memory_seed,memory_layer,user_query,must_call_retrieve,gold_behavior,must_include_signals,must_not,pass_rule,longmemeval_align,run_result,error_code,notes
BANK-A-0024,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我周末通常做什么运动？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0025,A_empty_abstain,P1,新会话；记忆库为空,,,我最常用的编程语言是什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0026,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我最常用的编程语言是什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0027,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我最常用的编程语言是什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0028,A_empty_abstain,P1,新会话；记忆库为空,,,我最近在看什么书？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0029,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我最近在看什么书？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0030,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我最近在看什么书？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0031,A_empty_abstain,P1,新会话；记忆库为空,,,我喜欢哪位导演的电影？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0032,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我喜欢哪位导演的电影？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0033,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我喜欢哪位导演的电影？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0034,A_empty_abstain,P1,新会话；记忆库为空,,,我有没有学过乐器？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0035,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我有没有学过乐器？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0036,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我有没有学过乐器？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0037,A_empty_abstain,P1,新会话；记忆库为空,,,我重大决策时习惯怎么做？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0038,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我重大决策时习惯怎么做？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0039,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我重大决策时习惯怎么做？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0040,A_empty_abstain,P1,新会话；记忆库为空,,,我更看重长期还是短期交付？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0041,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我更看重长期还是短期交付？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0042,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我更看重长期还是短期交付？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0043,A_empty_abstain,P1,新会话；记忆库为空,,,我能不能接受突然来电？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0044,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我能不能接受突然来电？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0045,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我能不能接受突然来电？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0046,A_empty_abstain,P1,新会话；记忆库为空,,,我有没有房贷或负债偏好？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0047,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我有没有房贷或负债偏好？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0048,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我有没有房贷或负债偏好？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0049,A_empty_abstain,P1,新会话；记忆库为空,,,我开会更喜欢异步还是同步？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0050,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我开会更喜欢异步还是同步？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0051,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我开会更喜欢异步还是同步？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0052,A_empty_abstain,P1,新会话；记忆库为空,,,我学新技术的习惯步骤是什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0053,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我学新技术的习惯步骤是什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0054,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我学新技术的习惯步骤是什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0055,A_empty_abstain,P1,新会话；记忆库为空,,,我现在在读什么硕士项目？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0056,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我现在在读什么硕士项目？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0057,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我现在在读什么硕士项目？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0058,A_empty_abstain,P1,新会话；记忆库为空,,,我猫还在吗？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0059,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我猫还在吗？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0060,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我猫还在吗？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0061,A_empty_abstain,P1,新会话；记忆库为空,,,你还记得我上次说的咖啡偏好吗？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0062,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，你还记得我上次说的咖啡偏好吗？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0063,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，你还记得我上次说的咖啡偏好吗？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0064,A_empty_abstain,P1,新会话；记忆库为空,,,根据你对我的了解，推荐一杯饮料。,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0065,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，根据你对我的了解，推荐一杯饮料。,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0066,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，根据你对我的了解，推荐一杯饮料。,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0067,A_empty_abstain,P1,新会话；记忆库为空,,,用一句话概括我的人格。,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0068,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，用一句话概括我的人格。,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0069,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，用一句话概括我的人格。,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0070,A_empty_abstain,P1,新会话；记忆库为空,,,我是什么星座？性格怎样？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0071,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我是什么星座？性格怎样？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0072,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我是什么星座？性格怎样？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0073,A_empty_abstain,P1,新会话；记忆库为空,,,我小时候的梦想是什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0074,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我小时候的梦想是什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0075,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我小时候的梦想是什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0076,A_empty_abstain,P1,新会话；记忆库为空,,,我前任是谁？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0077,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我前任是谁？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0078,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我前任是谁？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0079,A_empty_abstain,P1,新会话；记忆库为空,,,我月薪多少？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0080,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我月薪多少？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0081,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我月薪多少？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0082,A_empty_abstain,P1,新会话；记忆库为空,,,我身份证号后四位是多少？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0083,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我身份证号后四位是多少？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0084,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我身份证号后四位是多少？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0085,A_empty_abstain,P1,新会话；记忆库为空,,,我父母做什么工作？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0086,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我父母做什么工作？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0087,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我父母做什么工作？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0088,A_empty_abstain,P1,新会话；记忆库为空,,,我暗恋过谁？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0089,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我暗恋过谁？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0090,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我暗恋过谁？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0091,A_empty_abstain,P1,新会话；记忆库为空,,,我平时喜欢喝什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0092,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我平时喜欢喝什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0093,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我平时喜欢喝什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0094,A_empty_abstain,P1,新会话；记忆库为空,,,我的家乡是哪里？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0095,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我的家乡是哪里？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0096,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我的家乡是哪里？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0097,A_empty_abstain,P1,新会话；记忆库为空,,,我在哪所大学读本科？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0098,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我在哪所大学读本科？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0099,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我在哪所大学读本科？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0100,A_empty_abstain,P1,新会话；记忆库为空,,,我养没养宠物？叫什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0101,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我养没养宠物？叫什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0102,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我养没养宠物？叫什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0103,A_empty_abstain,P1,新会话；记忆库为空,,,我过敏吗？对什么过敏？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0104,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我过敏吗？对什么过敏？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0105,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我过敏吗？对什么过敏？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0106,A_empty_abstain,P1,新会话；记忆库为空,,,我通勤一般怎么去公司？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0107,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我通勤一般怎么去公司？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0108,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我通勤一般怎么去公司？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0109,A_empty_abstain,P1,新会话；记忆库为空,,,我作息大概几点睡？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0110,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我作息大概几点睡？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0111,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我作息大概几点睡？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0112,A_empty_abstain,P1,新会话；记忆库为空,,,我周末通常做什么运动？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0113,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我周末通常做什么运动？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0114,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我周末通常做什么运动？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0115,A_empty_abstain,P1,新会话；记忆库为空,,,我最常用的编程语言是什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0116,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我最常用的编程语言是什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0117,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我最常用的编程语言是什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
